    #parametro     lambda_01     lambda_02     lambda_03
      2.561625      2.227248     -0.004743    -11.784129
      2.561750      2.264093      0.000153    -11.825996
      2.561875      2.230440      0.000506    -11.792821
      2.562000      2.248376      0.000222    -11.810598
      2.562125      2.236493     -0.003310    -11.795308
      2.562250      2.277498     -0.000065    -11.839684
      2.562375      2.218833     -0.000636    -11.780572
      2.562500      2.182652      0.000226    -11.745378
      2.562625      2.257783     -0.001040    -11.819367
      2.562750      2.205756      0.000127    -11.768633
      2.562875      2.230049      0.000964    -11.793887
      2.563000      2.264206     -0.001338    -11.825867
      2.563125      2.153364     -0.000536    -11.715952
      2.563250      2.203071      0.000801    -11.767122
      2.563375      2.265545     -0.001316    -11.827604
      2.563500      2.217103     -0.000029    -11.780574
      2.563625      2.269598      0.000562    -11.833784
      2.563750      2.200815      0.001396    -11.765960
      2.563875      2.199233      0.000078    -11.763186
      2.564000      2.153589     -0.003229    -11.714360
      2.564125      2.246735      0.000557    -11.811418
      2.564250      2.202863     -0.001129    -11.765984
      2.564375      2.247903     -0.000692    -11.811586
      2.564500      2.246910      0.000155    -11.811565
      2.564625      2.239259     -0.001193    -11.802691
      2.564750      2.215294      0.001499    -11.781543
      2.564875      2.205671     -0.000244    -11.770302
      2.565000      2.229704     -0.001676    -11.793028
      2.565125      2.192368     -0.000389    -11.757104
      2.565250      2.199653      0.000041    -11.764944
      2.565375      2.214552     -0.002305    -11.777623
      2.565500      2.220583      0.001408    -11.787491
      2.565625      2.206254      0.000792    -11.772671
      2.565750      2.240368      0.000530    -11.806648
      2.565875      2.232431      0.000137    -11.798442
      2.566000      2.238844      0.000018    -11.804862
      2.566125      2.221469      0.000720    -11.788314
      2.566250      2.212778     -0.000080    -11.778948
      2.566375      2.161538     -0.001990    -11.725923
      2.566500      2.225348      0.000161    -11.792009
      2.566625      2.245413     -0.000888    -11.811150
      2.566750      2.173101      0.000052    -11.739903
      2.566875      2.167295     -0.000945    -11.733225
      2.567000      2.196778     -0.000807    -11.762971
      2.567125      2.252716     -0.002726    -11.817114
      2.567250      2.166732      0.000742    -11.734724
      2.567375      2.247634      0.001628    -11.816636
      2.567500      2.266596      0.000138    -11.834234
      2.567625      2.237800     -0.000239    -11.805186
      2.567750      2.211251     -0.000364    -11.778637
      2.567875      2.140275     -0.003201    -11.704949
      2.568000      2.180841     -0.000030    -11.748811
      2.568125      2.223128      0.002088    -11.793341
      2.568250      2.204841      0.000314    -11.773405
      2.568375      2.206411      0.000844    -11.775630
      2.568500      2.196548      0.002200    -11.767249
      2.568625      2.185350     -0.000609    -11.753366
      2.568750      2.231423      0.000693    -11.800866
